Terms,Numer of texts
visual,31
online,30
media,29
web,29
images,29
databases,29
internet,27
digital,25
design,25
electronic,24
google,24
blogs,24
television,23
presentations,22
charts,22
wikipedia,22
sound,21
video,21
speech,21
sites,20
searches,20
presentation,20
engines,19
white,19
art,19
software,18
visuals,18
photographs,18
clustering,18
oral,17
multimedia,17
maps,17
facebook,17
twitter,17
film,17
websites,16
audio,16
mapping,16
multimodal,16
music,16
radio,15
boolean,15
films,15
graphs,15
cartoons,15
fonts,15
color,15
database,15
powerpoint,15
prezi,15
